parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,rank,mlog10p
1, zgdf15 ,583,infectionburdenhospbr,,0.32,0.01316185,36888,24.46735,4.00E-131,0.3,0.35,0.05,0.00003418,1,5.36E-128,1,1,130.39794
1, zigfbp4 ,688,infectionburdenhospbr,,0.3,0.01402464,35997,21.520096,4.00E-102,0.27,0.33,0.05,0.00003418,1,3.26E-99,1,2,101.39794
1, zwfdc2 ,1450,infectionburdenhospbr,,0.31,0.0143129,34565,21.41362,5.00E-101,0.28,0.33,0.05,0.00003418,1,2.21E-98,1,3,100.30103
1, zvsig4 ,1436,infectionburdenhospbr,,0.29,0.01432552,36399,20.459571,1.60E-92,0.27,0.32,0.05,0.00003418,1,6.00E-90,1,4,91.79588002
1, zeda2r ,458,infectionburdenhospbr,,0.27,0.01328751,36718,20.380088,8.10E-92,0.24,0.3,0.05,0.00003418,1,2.37E-89,1,5,91.09151498
1, zcol6a3 ,333,infectionburdenhospbr,,0.29,0.01412684,36888,20.301385,3.90E-91,0.26,0.31,0.05,0.00003418,1,9.61E-89,1,6,90.40893539
1, ztnfrsf1a ,1377,infectionburdenhospbr,,0.29,0.01420236,36451,20.25989,9.20E-91,0.26,0.32,0.05,0.00003418,1,1.92E-88,1,7,90.03621217
1, zplaur ,1064,infectionburdenhospbr,,0.27,0.01420742,36186,18.987134,5.30E-80,0.24,0.3,0.05,0.00003418,1,9.77E-78,1,8,79.27572413
1, zefna4 ,463,infectionburdenhospbr,,0.28,0.01452017,36099,18.950787,1.10E-79,0.25,0.3,0.05,0.00003418,1,1.73E-77,1,9,78.95860731
1, zscarb2 ,1191,infectionburdenhospbr,,0.27,0.01450214,35463,18.861646,5.70E-79,0.25,0.3,0.05,0.00003418,1,8.41E-77,1,10,78.24412514
1, zfstl3 ,564,infectionburdenhospbr,,0.26,0.01404131,36353,18.680272,1.70E-77,0.23,0.29,0.05,0.00003418,1,2.20E-75,1,11,76.76955108
1, zlair1 ,809,infectionburdenhospbr,,0.27,0.0144684,36424,18.381162,4.10E-75,0.24,0.29,0.05,0.00003418,1,4.96E-73,1,12,74.38721614
1, zckap4 ,296,infectionburdenhospbr,,0.27,0.01466673,36645,18.351926,6.90E-75,0.24,0.3,0.05,0.00003418,1,7.77E-73,1,13,74.16115091
1, ztnfrsf1b ,1378,infectionburdenhospbr,,0.27,0.0146185,36451,18.310057,1.50E-74,0.24,0.3,0.05,0.00003418,1,1.55E-72,1,14,73.82390874
1, zcd302 ,224,infectionburdenhospbr,,0.26,0.01442656,36256,18.085558,8.70E-73,0.23,0.29,0.05,0.00003418,1,8.45E-71,1,15,72.06048075
1, zepha2 ,486,infectionburdenhospbr,,0.27,0.01492706,35113,18.062115,1.40E-72,0.24,0.3,0.05,0.00003418,1,1.24E-70,1,16,71.85387196
1, zhavcr2 ,638,infectionburdenhospbr,,0.26,0.01452954,36451,17.920671,1.70E-71,0.23,0.29,0.05,0.00003418,1,1.42E-69,1,17,70.76955108
1, zefna1 ,462,infectionburdenhospbr,,0.26,0.01469419,36390,17.910442,2.00E-71,0.23,0.29,0.05,0.00003418,1,1.61E-69,1,18,70.69897
1, ztnfrsf11a ,1370,infectionburdenhospbr,,0.26,0.0145426,36816,17.885213,3.10E-71,0.23,0.29,0.05,0.00003418,1,2.37E-69,1,19,70.50863831
1, ztnfrsf10a ,1367,infectionburdenhospbr,,0.26,0.01441149,36156,17.72153,5.70E-70,0.23,0.28,0.05,0.00003418,1,4.14E-68,1,20,69.24412514
1, zadm ,31,infectionburdenhospbr,,0.24,0.0137258,36718,17.458833,5.60E-68,0.21,0.27,0.05,0.00003418,1,3.87E-66,0,21,67.25181197
1, zcd74 ,241,infectionburdenhospbr,,0.25,0.01441757,36743,17.227885,3.00E-66,0.22,0.28,0.05,0.00003418,1,1.99E-64,0,22,65.52287875
1, ztnfrsf9 ,1383,infectionburdenhospbr,,0.25,0.01479316,36156,17.219178,3.50E-66,0.23,0.28,0.05,0.00003418,1,2.23E-64,1,23,65.45593196
1, ztgfbr2 ,1342,infectionburdenhospbr,,0.25,0.01446305,36532,17.064314,4.90E-65,0.22,0.28,0.05,0.00003418,1,2.98E-63,0,24,64.30980392
1, zcst3 ,369,infectionburdenhospbr,,0.24,0.01400262,36529,16.976738,2.20E-64,0.21,0.27,0.05,0.00003418,1,1.26E-62,0,25,63.65757732
1, zcd300e ,221,infectionburdenhospbr,,0.24,0.01447268,36596,16.915478,6.10E-64,0.22,0.27,0.05,0.00003418,1,3.41E-62,0,26,63.21467016
1, zpgf ,1046,infectionburdenhospbr,,0.23,0.01342233,36816,16.907603,6.90E-64,0.2,0.25,0.05,0.00003418,1,3.74E-62,0,27,63.16115091
1, ztff3 ,1335,infectionburdenhospbr,,0.25,0.01491898,36392,16.888524,9.60E-64,0.22,0.28,0.05,0.00003418,1,5.00E-62,1,28,63.01772877
1, zlgals9 ,830,infectionburdenhospbr,,0.24,0.01416713,36422,16.740939,1.10E-62,0.21,0.26,0.05,0.00003418,1,5.71E-61,0,29,61.95860731
1, ztnfrsf10b ,1368,infectionburdenhospbr,,0.24,0.01439143,36156,16.709387,1.90E-62,0.21,0.27,0.05,0.00003418,1,9.37E-61,0,30,61.7212464
1, zspon2 ,1286,infectionburdenhospbr,,0.25,0.01472698,36266,16.695998,2.40E-62,0.22,0.27,0.05,0.00003418,1,1.13E-60,0,31,61.61978876
1, zpik3ip1 ,1052,infectionburdenhospbr,,0.24,0.01449402,36451,16.627436,7.50E-62,0.21,0.27,0.05,0.00003418,1,3.41E-60,0,32,61.12493874
1, zcsf1 ,366,infectionburdenhospbr,,0.24,0.01468304,36587,16.612283,9.60E-62,0.22,0.27,0.05,0.00003418,1,4.24E-60,0,33,61.01772877
1, zcolec12 ,335,infectionburdenhospbr,,0.23,0.01409963,36424,16.592647,1.30E-61,0.21,0.26,0.05,0.00003418,1,5.71E-60,0,34,60.88605665
1, zlayn ,817,infectionburdenhospbr,,0.24,0.01470444,36099,16.470195,1.00E-60,0.21,0.27,0.05,0.00003418,1,4.19E-59,0,35,60
1, ztnfrsf12a ,1372,infectionburdenhospbr,,0.24,0.01436713,36532,16.450503,1.40E-60,0.21,0.26,0.05,0.00003418,1,5.59E-59,0,36,59.85387196
1, zspink1 ,1278,infectionburdenhospbr,,0.24,0.01491229,36451,16.403601,3.00E-60,0.22,0.27,0.05,0.00003418,1,1.17E-58,0,37,59.52287875
1, zhspg2 ,664,infectionburdenhospbr,,0.24,0.01459296,36177,16.223565,5.60E-59,0.21,0.27,0.05,0.00003418,1,2.14E-57,0,38,58.25181197
1, zgfra1 ,589,infectionburdenhospbr,,0.23,0.01422226,36660,16.161785,1.50E-58,0.2,0.26,0.05,0.00003418,1,5.61E-57,0,39,57.82390874
1, ztnfrsf4 ,1380,infectionburdenhospbr,,0.24,0.01470611,36752,16.153577,1.70E-58,0.21,0.27,0.05,0.00003418,1,6.24E-57,0,40,57.76955108
1, zrelt ,1158,infectionburdenhospbr,,0.22,0.01367111,36451,15.954912,4.10E-57,0.19,0.24,0.05,0.00003418,1,1.47E-55,0,41,56.38721614
1, znectin2 ,956,infectionburdenhospbr,,0.23,0.01479047,36376,15.87542,1.50E-56,0.21,0.26,0.05,0.00003418,1,5.06E-55,0,42,55.82390874
1, znbl1 ,944,infectionburdenhospbr,,0.23,0.01469041,36532,15.815166,3.80E-56,0.2,0.26,0.05,0.00003418,1,1.25E-54,0,43,55.4202164
1, zhla_e ,649,infectionburdenhospbr,,0.24,0.01491458,36344,15.815254,3.80E-56,0.21,0.27,0.05,0.00003418,1,1.25E-54,0,44,55.4202164
1, zcd27 ,215,infectionburdenhospbr,,0.23,0.01472431,36532,15.756102,9.50E-56,0.2,0.26,0.05,0.00003418,1,3.10E-54,0,45,55.02227639
1, zareg ,83,infectionburdenhospbr,,0.23,0.0148972,36256,15.672551,3.50E-55,0.2,0.26,0.05,0.00003418,1,1.13E-53,0,46,54.45593196
1, znpdc1 ,976,infectionburdenhospbr,,0.23,0.01456428,36433,15.526317,3.40E-54,0.2,0.25,0.05,0.00003418,1,1.07E-52,0,47,53.46852108
1, zagrn ,36,infectionburdenhospbr,,0.22,0.01445359,36587,15.456621,1.00E-53,0.2,0.25,0.05,0.00003418,1,3.07E-52,0,48,53
1, zangpt2 ,61,infectionburdenhospbr,,0.23,0.01474659,36718,15.296548,1.20E-52,0.2,0.25,0.05,0.00003418,1,3.50E-51,0,49,51.92081875
1, zfgf23 ,537,infectionburdenhospbr,,0.22,0.01477809,36656,15.119727,1.70E-51,0.19,0.25,0.05,0.00003418,1,5.03E-50,0,50,50.76955108
1, zltbr ,857,infectionburdenhospbr,,0.22,0.01477735,36258,15.014699,8.40E-51,0.19,0.25,0.05,0.00003418,1,2.40E-49,0,51,50.07572071
1, ztnfrsf14 ,1375,infectionburdenhospbr,,0.22,0.01466993,36472,15.007719,9.30E-51,0.19,0.25,0.05,0.00003418,1,2.61E-49,0,52,50.03151705
1, zlgals4 ,827,infectionburdenhospbr,,0.22,0.01470124,36424,14.994049,1.10E-50,0.19,0.25,0.05,0.00003418,1,3.14E-49,0,53,49.95860731
1, zulbp2 ,1417,infectionburdenhospbr,,0.22,0.0148362,36156,14.906744,4.20E-50,0.19,0.25,0.05,0.00003418,1,1.14E-48,0,54,49.37675071
1, zfabp4 ,508,infectionburdenhospbr,,0.19,0.0128086,36888,14.812417,1.70E-49,0.16,0.21,0.05,0.00003418,1,4.50E-48,0,55,48.76955108
