#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0051239	Regulation of multicellular organismal process	32	2749	0.7	2.43e-13	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000188790,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000221515,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000253408,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000256759,9606.ENSP00000272190,9606.ENSP00000280904,9606.ENSP00000295408,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000312652,9606.ENSP00000355718,9606.ENSP00000360687,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000483552	CX3CL1,CD74,FAP,OXT,PLAT,RETN,IL1RL1,MMP8,GFAP,CHI3L1,FABP4,FST,REN,DSC2,MERTK,IL15,TNFRSF11B,LEP,DLL1,PTGDS,PLAU,NPPB,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,IL1R1,IL32,ADM,FURIN
GO:0051240	Positive regulation of multicellular organismal process	25	1505	0.85	1.56e-12	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000221515,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000253408,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000256759,9606.ENSP00000296545,9606.ENSP00000312652,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000483552	CX3CL1,CD74,OXT,PLAT,RETN,IL1RL1,MMP8,GFAP,CHI3L1,FABP4,FST,IL15,LEP,DLL1,PLAU,NPPB,IL2RA,IL4R,IL15RA,TNFSF11,IL6,IL1R1,IL32,ADM,FURIN
GO:0002376	Immune system process	28	2121	0.75	1.88e-12	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000233954,9606.ENSP00000256759,9606.ENSP00000294728,9606.ENSP00000295408,9606.ENSP00000295927,9606.ENSP00000296545,9606.ENSP00000312652,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000360687,9606.ENSP00000363773,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000496959	CX3CL1,CD74,IL1RL1,FST,VCAM1,MERTK,PTX3,IL15,LEP,DPP4,CXCL9,DLL1,PTGDS,C1QA,NPPB,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,IL1R1,RARRES2,IL32,IL18BP,ADM,FLT3LG,ITGAM
GO:0002696	Positive regulation of leukocyte activation	15	384	1.22	3.34e-11	9606.ENSP00000009530,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000294728,9606.ENSP00000296545,9606.ENSP00000312652,9606.ENSP00000353731,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000487363,9606.ENSP00000496959	CD74,IL1RL1,MMP8,VCAM1,IL15,LEP,DPP4,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,HAVCR1,ITGAM
GO:0002682	Regulation of immune system process	23	1438	0.84	4.08e-11	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000294728,9606.ENSP00000295408,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000312652,9606.ENSP00000353731,9606.ENSP00000355718,9606.ENSP00000363773,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000418009,9606.ENSP00000483552,9606.ENSP00000487363,9606.ENSP00000496959	CX3CL1,CD74,IL1RL1,MMP8,VCAM1,MERTK,IL15,TNFRSF11B,LEP,DPP4,DLL1,C1QA,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,IL1R1,RARRES2,FURIN,HAVCR1,ITGAM
GO:0002694	Regulation of leukocyte activation	17	601	1.08	4.11e-11	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000294728,9606.ENSP00000295408,9606.ENSP00000296545,9606.ENSP00000312652,9606.ENSP00000353731,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000487363,9606.ENSP00000496959	CX3CL1,CD74,IL1RL1,MMP8,VCAM1,MERTK,IL15,LEP,DPP4,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,HAVCR1,ITGAM
GO:0050896	Response to stimulus	43	7835	0.37	4.41e-11	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000188790,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000221515,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000253408,9606.ENSP00000255409,9606.ENSP00000256104,9606.ENSP00000256759,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000280904,9606.ENSP00000294728,9606.ENSP00000295408,9606.ENSP00000295927,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000299855,9606.ENSP00000312652,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000360687,9606.ENSP00000361850,9606.ENSP00000363773,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000483552,9606.ENSP00000496959	CX3CL1,CD74,FAP,OXT,PLAT,RETN,IL1RL1,IL17C,GFAP,CHI3L1,FABP4,FST,IGFBP4,REN,DSC2,VCAM1,MERTK,PTX3,IL15,TNFRSF11B,MMP3,LEP,DPP4,CXCL9,DLL1,PTGDS,PLAU,C1QA,NPPB,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,IL1R1,RARRES2,IL32,IL18BP,ADM,FLT3LG,FURIN,ITGAM
GO:0002684	Positive regulation of immune system process	19	874	0.97	5.35e-11	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000294728,9606.ENSP00000296545,9606.ENSP00000312652,9606.ENSP00000353731,9606.ENSP00000363773,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000380421,9606.ENSP00000380855,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000418009,9606.ENSP00000487363,9606.ENSP00000496959	CX3CL1,CD74,IL1RL1,MMP8,VCAM1,IL15,LEP,DPP4,C1QA,IL2RA,IL4R,IL15RA,PDCD1LG2,TNFSF11,IL6,IL1R1,RARRES2,HAVCR1,ITGAM
GO:0051241	Negative regulation of multicellular organismal process	20	1035	0.92	7.04e-11	9606.ENSP00000006053,9606.ENSP00000009530,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000221515,9606.ENSP00000233954,9606.ENSP00000236826,9606.ENSP00000295408,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000312652,9606.ENSP00000355718,9606.ENSP00000360687,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000379111,9606.ENSP00000380855,9606.ENSP00000385675,9606.ENSP00000436607,9606.ENSP00000483552	CX3CL1,CD74,OXT,PLAT,RETN,IL1RL1,MMP8,MERTK,IL15,TNFRSF11B,LEP,DLL1,PTGDS,PLAU,NPPB,IL4R,PDCD1LG2,IL6,ADM,FURIN
GO:0006954	Inflammatory response	16	538	1.11	7.73e-11	9606.ENSP00000006053,9606.ENSP00000244241,9606.ENSP00000255409,9606.ENSP00000269593,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296545,9606.ENSP00000354901,9606.ENSP00000363773,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000418009,9606.ENSP00000436607,9606.ENSP00000496959	CX3CL1,IL17C,CHI3L1,IGFBP4,VCAM1,PTX3,IL15,CXCL9,C1QA,IL2RA,IL4R,IL6,IL1R1,RARRES2,ADM,ITGAM
