#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0042327	Positive regulation of phosphorylation	18	826	1.02	2.39e-10	9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000361818,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951	GDF15,PDGFRA,KDR,ERBB3,EGFR,ITGA5,FGF5,MET,CSF1,PLAUR,EPHA2,TGFBR2,ROR1,SDC4,TFRC,AREG,TGFA,KITLG
GO:0010647	Positive regulation of cell communication	22	1693	0.8	4.87e-10	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000296695,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000378517,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951,9606.ENSP00000499459	DCN,ACTA2,GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,ITGA5,SPINK1,MET,CSF1,PLAUR,TGFBR2,ROR1,IGFBP3,TFRC,SPP1,AREG,TGFA,KITLG,IL19
GO:0019220	Regulation of phosphate metabolic process	21	1405	0.86	4.87e-10	9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000296695,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000361818,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000454071,9606.ENSP00000495951	GDF15,PDGFRA,KDR,ERBB3,EGFR,ITGA5,SPINK1,FGF5,MET,CSF1,PLAUR,EPHA2,TGFBR2,ROR1,SDC4,IGFBP3,TFRC,AREG,TGFA,LDLR,KITLG
GO:0023056	Positive regulation of signaling	22	1698	0.79	4.87e-10	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000296695,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000378517,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951,9606.ENSP00000499459	DCN,ACTA2,GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,ITGA5,SPINK1,MET,CSF1,PLAUR,TGFBR2,ROR1,IGFBP3,TFRC,SPP1,AREG,TGFA,KITLG,IL19
GO:0042325	Regulation of phosphorylation	20	1251	0.89	4.87e-10	9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000296695,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000361818,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951	GDF15,PDGFRA,KDR,ERBB3,EGFR,ITGA5,SPINK1,FGF5,MET,CSF1,PLAUR,EPHA2,TGFBR2,ROR1,SDC4,IGFBP3,TFRC,AREG,TGFA,KITLG
GO:0009967	Positive regulation of signal transduction	20	1525	0.8	6.26e-09	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951,9606.ENSP00000499459	DCN,ACTA2,GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,ITGA5,MET,CSF1,PLAUR,TGFBR2,ROR1,IGFBP3,TFRC,AREG,TGFA,KITLG,IL19
GO:0033674	Positive regulation of kinase activity	13	494	1.1	2.60e-08	9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000361818,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951	PDGFRA,KDR,ERBB3,EGFR,MET,CSF1,EPHA2,TGFBR2,ROR1,SDC4,AREG,TGFA,KITLG
GO:0007167	Enzyme-linked receptor protein signaling pathway	14	641	1.02	3.75e-08	9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000301873,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000379097,9606.ENSP00000404131	GDF15,PDGFRA,KDR,ERBB3,EGFR,LTBP3,FGF5,MET,CSF1,EPHA2,TGFBR2,ROR1,AREG,TGFA
GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway	12	425	1.13	6.89e-08	9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000360120,9606.ENSP00000379097,9606.ENSP00000404131	GDF15,PDGFRA,KDR,ERBB3,EGFR,FGF5,MET,CSF1,EPHA2,ROR1,AREG,TGFA
GO:1902533	Positive regulation of intracellular signal transduction	16	997	0.89	7.61e-08	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000360120,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000404131,9606.ENSP00000495951,9606.ENSP00000499459	DCN,ACTA2,GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,MET,CSF1,ROR1,IGFBP3,TFRC,TGFA,KITLG,IL19
GO:0007166	Cell surface receptor signaling pathway	21	2040	0.69	8.54e-08	9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000287814,9606.ENSP00000293379,9606.ENSP00000301873,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000355124,9606.ENSP00000360120,9606.ENSP00000373489,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951	GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,TIMP4,ITGA5,LTBP3,FGF5,MET,CSF1,PLAUR,EPHA2,TGFBR2,KRT19,ROR1,KRT18,AREG,TGFA,KITLG
GO:0018108	Peptidyl-tyrosine phosphorylation	9	176	1.39	1.30e-07	9606.ENSP00000257290,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000296695,9606.ENSP00000317272,9606.ENSP00000351209,9606.ENSP00000360120,9606.ENSP00000495951	PDGFRA,KDR,ERBB3,EGFR,SPINK1,MET,EPHA2,ROR1,KITLG
GO:0048584	Positive regulation of response to stimulus	21	2131	0.68	1.50e-07	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351905,9606.ENSP00000360120,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000454071,9606.ENSP00000495951,9606.ENSP00000499459	DCN,ACTA2,GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,ITGA5,MET,CSF1,PLAUR,TGFBR2,ROR1,IGFBP3,TFRC,AREG,TGFA,LDLR,KITLG,IL19
GO:0001934	Positive regulation of protein phosphorylation	14	747	0.95	1.57e-07	9606.ENSP00000252809,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000311697,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351905,9606.ENSP00000361818,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951	GDF15,KDR,ERBB3,EGFR,ITGA5,FGF5,CSF1,PLAUR,TGFBR2,SDC4,TFRC,AREG,TGFA,KITLG
GO:0030334	Regulation of cell migration	15	927	0.89	2.10e-07	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000311697,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000361818,9606.ENSP00000370473,9606.ENSP00000495951	DCN,ACTA2,PDGFRA,ITGAV,KDR,EGFR,ITGA5,FGF5,MET,CSF1,EPHA2,TGFBR2,SDC4,IGFBP3,KITLG
GO:0001932	Regulation of protein phosphorylation	16	1108	0.84	2.19e-07	9606.ENSP00000252809,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000296695,9606.ENSP00000311697,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351905,9606.ENSP00000361818,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000495951	GDF15,KDR,ERBB3,EGFR,ITGA5,SPINK1,FGF5,CSF1,PLAUR,TGFBR2,SDC4,IGFBP3,TFRC,AREG,TGFA,KITLG
GO:0009888	Tissue development	19	1723	0.72	2.21e-07	9606.ENSP00000224784,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000293379,9606.ENSP00000301873,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000351905,9606.ENSP00000355124,9606.ENSP00000361818,9606.ENSP00000364711,9606.ENSP00000378517,9606.ENSP00000379097,9606.ENSP00000495951	ACTA2,PDGFRA,ITGAV,DSG2,KDR,ERBB3,EGFR,ITGA5,LTBP3,MET,CSF1,EPHA2,TGFBR2,KRT19,SDC4,OGN,SPP1,AREG,KITLG
GO:1902531	Regulation of intracellular signal transduction	19	1726	0.72	2.21e-07	9606.ENSP00000052754,9606.ENSP00000224784,9606.ENSP00000252809,9606.ENSP00000257290,9606.ENSP00000261023,9606.ENSP00000263923,9606.ENSP00000267101,9606.ENSP00000275493,9606.ENSP00000296695,9606.ENSP00000317272,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000351209,9606.ENSP00000360120,9606.ENSP00000370473,9606.ENSP00000376197,9606.ENSP00000404131,9606.ENSP00000495951,9606.ENSP00000499459	DCN,ACTA2,GDF15,PDGFRA,ITGAV,KDR,ERBB3,EGFR,SPINK1,MET,CSF1,PLAUR,EPHA2,ROR1,IGFBP3,TFRC,TGFA,KITLG,IL19
